IL SUPERMERCATO HA APERTO IL 10-07-2020  ALLE 15:55:24

| ID CLIENTE: 30 | N. PRODOTTI ACQUISTATI: 61 | TEMPO TOT SUPERMERCATO: 1.328 s | TEMPO TOT SPESO IN CODA: 1.262 s | N. CODE VISTE: 1 |
| ID CLIENTE: 15 | N. PRODOTTI ACQUISTATI: 65 | TEMPO TOT SUPERMERCATO: 1.464 s | TEMPO TOT SPESO IN CODA: 1.339 s | N. CODE VISTE: 1 |
| ID CLIENTE: 24 | N. PRODOTTI ACQUISTATI: 7 | TEMPO TOT SUPERMERCATO: 1.498 s | TEMPO TOT SPESO IN CODA: 1.415 s | N. CODE VISTE: 1 |
| ID CLIENTE: 12 | N. PRODOTTI ACQUISTATI: 69 | TEMPO TOT SUPERMERCATO: 1.545 s | TEMPO TOT SPESO IN CODA: 1.449 s | N. CODE VISTE: 1 |
| ID CLIENTE: 28 | N. PRODOTTI ACQUISTATI: 82 | TEMPO TOT SUPERMERCATO: 1.871 s | TEMPO TOT SPESO IN CODA: 1.729 s | N. CODE VISTE: 1 |
| ID CLIENTE: 39 | N. PRODOTTI ACQUISTATI: 98 | TEMPO TOT SUPERMERCATO: 2.031 s | TEMPO TOT SPESO IN CODA: 2.021 s | N. CODE VISTE: 1 |
| ID CLIENTE: 16 | N. PRODOTTI ACQUISTATI: 35 | TEMPO TOT SUPERMERCATO: 2.305 s | TEMPO TOT SPESO IN CODA: 2.205 s | N. CODE VISTE: 1 |
| ID CLIENTE: 2 | N. PRODOTTI ACQUISTATI: 42 | TEMPO TOT SUPERMERCATO: 2.374 s | TEMPO TOT SPESO IN CODA: 2.280 s | N. CODE VISTE: 1 |
| ID CLIENTE: 13 | N. PRODOTTI ACQUISTATI: 11 | TEMPO TOT SUPERMERCATO: 2.584 s | TEMPO TOT SPESO IN CODA: 2.477 s | N. CODE VISTE: 1 |
| ID CLIENTE: 8 | N. PRODOTTI ACQUISTATI: 41 | TEMPO TOT SUPERMERCATO: 2.771 s | TEMPO TOT SPESO IN CODA: 2.604 s | N. CODE VISTE: 1 |
| ID CLIENTE: 44 | N. PRODOTTI ACQUISTATI: 19 | TEMPO TOT SUPERMERCATO: 2.782 s | TEMPO TOT SPESO IN CODA: 2.689 s | N. CODE VISTE: 1 |
| ID CLIENTE: 7 | N. PRODOTTI ACQUISTATI: 4 | TEMPO TOT SUPERMERCATO: 2.926 s | TEMPO TOT SPESO IN CODA: 2.756 s | N. CODE VISTE: 1 |
